DOID:5585	ferguson-smith tumor|ferguson-smith tumors|ferguson-smith tumour|multiple self healing epithelioma of ferguson-smith
DOID:3011	breast granular cell tumor|breast granular cell tumors|breast granular cell tumour
DOID:3187	brain oligodendroglioma|brain oligodendrogliomas|oligodendroglioma of brain|oligodendroglioma of the brain
DOID:3356	localized osteogenic sarcoma|localized osteogenic sarcomas|localized osteosarcoma|localized osteosarcomas
DOID:7482	meningioma of petrous apex|meningioma of petrous ridge|meningioma of the petrous apex|meningioma of the petrous ridge|petrous apex meningioma|petrous apex meningiomas|petrous ridge meningioma|petrous ridge meningiomas
DOID:3540	choroid plexus cancer|choroid plexus cancers|choroid plexus neopl|choroid plexus neoplasm|choroid plexus neoplasms|choroid plexus neoplasms [disease/finding]|choroid plexus tumor|choroid plexus tumors|choroid plexus tumour|choroid plexus tumours|neopl choroid plexus|neoplasm of choroid plexus|neoplasm of the choroid plexus|tumor of choroid plexus|tumor of the choroid plexus|tumour of choroid plexus|tumour of the choroid plexus
DOID:2174	eye neopl|eye neoplasm|eye neoplasms|eye neoplasms [disease/finding]|eye tumor|eye tumors|eye tumour|eye tumours|eye--tumors|eye--tumours|eyes tumors|eyes tumours|malign neopl eye nec|malignant neoplasm of other specified sites of eye|neopl eye|neoplasia of the eye|neoplasm of eye|neoplasm of the eye|ocular cancer|ocular cancers|ocular neoplasm|ocular neoplasms|ocular tumor|ocular tumors|ocular tumour|of eye tumor|of eye tumors|of eye tumour|tumor eye|tumor of eye|tumor of the eye|tumour eye|tumour of eye|tumour of the eye
DOID:6112	cerebral hemispheric meningioma|cerebral hemispheric meningiomas|cerebral meningioma|cerebral meningiomas|meningioma of cerebral hemispheres|meningioma of cerebrum|meningioma of the cerebral hemispheres|meningioma of the cerebrum
DOID:6812	childhood pilocytic astrocytoma|childhood pilocytic astrocytomas|pediatric pilocytic astrocytoma|pediatric pilocytic astrocytomas|pilocytic astrocytoma of childhood
DOID:3722	isolated osseous plasmacytoma|isolated osseous plasmacytomas|isolated plasmacytoma of bone|solitary osseous plasmacytoma|solitary osseous plasmacytomas|solitary plasmacytoma of bone
DOID:4917	villous adenocarcinoma|villous adenocarcinomas
DOID:2817	cranial nerve iii tumor|cranial nerve iii tumors|cranial nerve iii tumour|iiird cranial nerve tumor|iiird cranial nerve tumors|iiird cranial nerve tumour|oculomotor nerve neoplasm|oculomotor nerve neoplasms|oculomotor nerve tumor|oculomotor nerve tumors|oculomotor nerve tumour
DOID:7483	cervical keratinizing squamous cell carcinoma|cervical keratinizing squamous cell carcinomas
DOID:1995	rectal sarcoma|rectal sarcomas|rectum sarcoma|rectum sarcomas|sarcoma of rectum|sarcoma of the rectum
DOID:4293	clear cell basal cell carcinoma|clear cell basal cell carcinomas|skin clear cell basal cell carcinoma|skin clear cell basal cell carcinomas
DOID:3910	adenocarcinoma cancer lung|adenocarcinoma cancer lungs|adenocarcinoma lung|adenocarcinoma lung cancer|adenocarcinoma lung cancers|adenocarcinoma lungs|adenocarcinoma of lung|adenocarcinoma of lung (disorder)|adenocarcinoma of the lung|adenocarcinomas lung|lung adenocarcinoma|lung adenocarcinomas|lung cancer adenocarcinoma|lung cancer adenocarcinomas|non-oat cell adenocarcinoma of the lung|non-small cell adenocarcinoma|non-small cell adenocarcinomas|nonsmall cell adenocarcinoma|nonsmall cell adenocarcinomas
DOID:2781	rectosigmoid cancer|rectosigmoid cancers|rectosigmoid carcinoma|rectosigmoid carcinomas
DOID:4472	mucinous tubular and spindle cell carcinoma of the kidney|mucinous tubular and spindle renal cell carcinoma|mucinous tubular and spindle renal cell carcinomas
DOID:12298	intrahepatic gall duct cancer|intrahepatic gall duct cancers|mal neo intrahepat ducts|malignant neoplasm of intrahepatic bile ducts|malignant neoplasm of intrahepatic biliary passages|malignant neoplasm of intrahepatic gall duct
DOID:2782	mal neo rectosigmoid jct|malignant neoplasm of rectosigmoid|malignant neoplasm of rectosigmoid colon|malignant neoplasm of rectosigmoid junction|malignant neoplasm of the rectosigmoid junction|malignant rectosigmoid neoplasm|malignant rectosigmoid neoplasms|malignant rectosigmoid tumor|malignant rectosigmoid tumors|malignant rectosigmoid tumour|malignant tumor of rectosigmoid junction|malignant tumor of the rectosigmoid junction|malignant tumour of rectosigmoid junction|malignant tumour of the rectosigmoid junction|rectosigmoid junction cancer|rectosigmoid junction cancers
DOID:4463	multilocular clear cell renal cell carcinoma|multilocular clear cell renal cell carcinomas|multilocular cystic renal cell carcinoma|multilocular cystic renal cell carcinomas|renal cystadenocarcinoma|renal cystadenocarcinomas
DOID:13159	scrotal squamous cell carcinoma|scrotal squamous cell carcinomas|scrotum squamous cell carcinoma|scrotum squamous cell carcinomas|squamous cell carcinoma of scrotum|squamous cell carcinoma of the scrotum
DOID:6113	intracerebral cystic meningioma|intracerebral cystic meningiomas
DOID:3772	intraventricular meningioma|intraventricular meningiomas
DOID:3996	cancer of urinary organs|mal neo urinary nos|urinary organs--cancer|urinary organs--cancers|urinary system cancer|urinary system cancers
DOID:7684	adenocarcinoma of maxillary sinus|adenocarcinoma of the maxillary sinus|maxillary sinus adenocarcinoma|maxillary sinus adenocarcinomas
DOID:4164	cerebral hemispheric neuroblastoma|cerebral hemispheric neuroblastomas|cerebral neuroblastoma|cerebral neuroblastomas|neuroblastoma of cerebral hemispheres|neuroblastoma of cerebrum|neuroblastoma of the cerebral hemispheres|neuroblastoma of the cerebrum
DOID:371	extracranial neuroblastoma|extracranial neuroblastomas
DOID:7438	clear cell cystadenocarcinoma of the ovary|ovarian clear cell cystadenocarcinoma|ovarian clear cell cystadenocarcinomas|ovarian mesonephroid cystadenocarcinoma|ovarian mesonephroid cystadenocarcinomas
DOID:3079	childhood astrocytic neoplasm|childhood astrocytic neoplasms|childhood astrocytic tumor|childhood astrocytic tumors|childhood astrocytic tumour|childhood astrocytic tumours|juvenile astrocytoma|juvenile astrocytomas|pediatric astrocytic neoplasm|pediatric astrocytic neoplasms|pediatric astrocytic tumor|pediatric astrocytic tumors|pediatric astrocytic tumour
DOID:0060318	acute promyelocytic leukaemia|acute promyelocytic leukemia|acute promyelocytic leukemia apl|acute promyelocytic leukemia with t(15;17)(q22;q12); pml-rara|acute promyelocytic leukemia with t(15;17)(q22;q12); pml/rara|acute promyelocytic leukemias|aml m3|aml with t(15;17)(q22;q12)|apml|apml - acute promyelocytic leukemia|fab m3|leukemia myeloid acute m 03|m3 acute promyelocytic leukemia|m3 anll|myeloid leukemia acute m 03|progranulocytic leukemia|promyelocytic leukemia
DOID:7907	mixed astrocytoma-ependymoma|mixed astrocytoma-ependymomas
DOID:11905	labium majus cancer|labium majus cancers|mal neo labia majora|malignant labia majora neoplasm|malignant labia majora neoplasms|malignant labia majora tumor|malignant labia majora tumors|malignant labia majora tumour|malignant neoplasm of labia majora|malignant neoplasm of labium majus|malignant neoplasm of the labia majora|malignant tumor of labia majora|malignant tumor of the labia majora|malignant tumour of labia majora|malignant tumour of the labia majora
DOID:5538	epidermoid carcinoma of external ear|epidermoid carcinoma of the external ear|external ear epidermoid carcinoma|external ear epidermoid carcinomas|external ear squamous cell carcinoma|external ear squamous cell carcinomas|squamous cell carcinoma of external ear|squamous cell carcinoma of the external ear
DOID:3609	breast mucinous cystadenocarcinoma|breast mucinous cystadenocarcinomas
DOID:5590	aggressive digital papillary adenocarcinoma|aggressive digital papillary adenocarcinomas
DOID:8651	adult hd|adult hodgkin disease|adult hodgkin lymphoma|adult hodgkin lymphomas|adult hodgkin's disease|adult hodgkin's lymphoma|adult hodgkin's lymphomas|adult hodgkins disease|adult hodgkins lymphoma|adult hodgkins lymphomas|adults disease hodgkin's|hodgins|hodgkin dis|hodgkin disease|hodgkin disease (hd)|hodgkin disease [disease/finding]|hodgkin granuloma|hodgkin granulomas|hodgkin lymphoma|hodgkin lymphoma lymphocyte depleted|hodgkin lymphomas|hodgkin's disease|hodgkin's disease lymphocyte depletion|hodgkin's disease mixed cellularity|hodgkin's disease nos|hodgkin's granuloma|hodgkin's granulomas|hodgkin's lymphoma|hodgkin's lymphoma disease|hodgkin's lymphoma lymphocyte depleted|hodgkin's lymphoma mixed cellularity|hodgkin's lymphoma nos|hodgkin's lymphomas|hodgkin's paragranuloma|hodgkin's paragranulomas|hodgkin's sarcoma|hodgkin's sarcomas|hodgkin`s disease|hodgkins dis|hodgkins disease|hodgkins disease systemic|hodgkins diseases|hodgkins granuloma|hodgkins granulomas|hodgkins lymphoma|hodgkins lymphomas|ldchl|ldhl|lrchl|lymphocyte depleted classical hodgkin lymphoma|lymphocyte depleted classical hodgkin lymphomas|lymphocyte depleted classical hodgkin's lymphoma|lymphocyte depleted classical hodgkin's lymphomas|lymphocyte depleted hodgkin lymphoma|lymphocyte depleted hodgkin lymphomas|lymphocyte depleted hodgkin's disease|lymphocyte depleted hodgkin's lymphoma|lymphocyte depleted hodgkin's lymphomas|lymphocyte depletion hodgkin's lymphoma|lymphocyte depletion hodgkin's lymphomas|lymphocyte rich classical hodgkin lymphoma|lymphocyte rich classical hodgkin lymphomas|lymphocyte rich classical hodgkin's disease|lymphocyte rich classical hodgkin's lymphoma|lymphocyte rich classical hodgkin's lymphomas|lymphocyte rich hodgkin lymphoma|lymphocyte rich hodgkin lymphomas|lymphocyte rich hodgkin's disease|lymphocyte rich hodgkin's lymphoma|lymphocyte rich hodgkin's lymphomas|lymphocyte-depleted classical hodgkin lymphoma|lymphocyte-depleted classical hodgkin lymphomas|lymphocyte-depleted hodgkin's disease|lymphocyte-depleted hodgkin's lymphoma|lymphocyte-depleted hodgkin's lymphomas|lymphocyte-rich classical hodgkin lymphoma|lymphocyte-rich classical hodgkin lymphomas|lymphocyte-rich classical hodgkin's lymphoma|lymphocyte-rich classical hodgkin's lymphomas|lymphogranulomatosis|lymphogranulomatosis (malignant)|malignant granuloma|malignant granulomas|malignant lymphogranuloma|malignant lymphogranulomas|malignant lymphogranulomatosis|mcchl|mchl|mixed cellularity classical hodgkin lymphoma|mixed cellularity classical hodgkin lymphomas|mixed cellularity hodgkin lymphoma|mixed cellularity hodgkin lymphomas|mixed cellularity hodgkin's disease|mixed cellularity hodgkin's lymphoma|mixed cellularity hodgkin's lymphomas|nlphl|nodular lymphocyte predominant hodgkin lymphoma|nodular lymphocyte predominant hodgkin lymphomas|nodular lymphocyte predominant hodgkin's lymphoma|nodular lymphocyte predominant hodgkin's lymphomas|nodular lymphocyte-predominant hodgkin lymphoma|nodular lymphocyte-predominant hodgkin lymphomas|nodular lymphocyte-predominant hodgkin's lymphoma|nodular lymphocyte-predominant hodgkin's lymphomas|nodular sclerosing hodgkin's lymphoma|nodular sclerosing hodgkin's lymphomas
DOID:5182	blastema predominant kidney adenosarcoma|blastema predominant kidney adenosarcomas|blastema predominant kidney wilms' tumor|blastema predominant kidney wilms' tumors|blastema predominant kidney wilms' tumour|blastema predominant nephroblastoma|blastema predominant nephroblastomas|blastema predominant renal adenosarcoma|blastema predominant renal adenosarcomas|blastema predominant renal wilm's tumor|blastema predominant renal wilm's tumors|blastema predominant renal wilm's tumour|blastema predominant renal wilms tumor|blastema predominant renal wilms tumors|blastema predominant renal wilms tumour|blastema predominant renal wilms' tumor|blastema predominant renal wilms' tumors|blastema predominant renal wilms' tumour|blastema predominant wilm's tumor|blastema predominant wilm's tumors|blastema predominant wilm's tumour|blastema predominant wilms tumor|blastema predominant wilms tumors|blastema predominant wilms tumour|blastema predominant wilms' tumor|blastema predominant wilms' tumors|blastema predominant wilms' tumour
DOID:9253	gant|gants|gastrointestinal stroma tumor|gastrointestinal stroma tumors|gastrointestinal stroma tumour|gastrointestinal stromal neoplasm|gastrointestinal stromal neoplasms|gastrointestinal stromal tumor|gastrointestinal stromal tumor (gist)|gastrointestinal stromal tumors|gastrointestinal stromal tumors [disease/finding]|gastrointestinal stromal tumour|gastrointestinal stromal tumour (gist)|gastrointestinal stromal tumours|gastrointestinal stromal tumours [disease/finding]|gist|gists
DOID:5862	localized chondrosarcoma|localized chondrosarcomas
DOID:6089	childhood leptomeningeal melanoma|childhood leptomeningeal melanomas|pediatric leptomeningeal melanoma|pediatric leptomeningeal melanomas
DOID:6313	chondroid chordoma of clivus|chondroid chordoma of the clivus|clivus chondroid chordoma|clivus chondroid chordomas
DOID:6566	medium/large size ciliary body and choroid melanoma|medium/large size ciliary body and choroid melanomas|medium/large size posterior uveal melanoma|medium/large size posterior uveal melanomas|posterior uveal melanoma|posterior uveal melanomas|small size ciliary body and choroid melanoma|small size ciliary body and choroid melanomas|small size posterior uveal melanoma|small size posterior uveal melanomas
DOID:5299	clear cell carcinoma of endometrium|clear cell carcinoma of the endometrium|clearcell carcinoma of the uterus|endometrial clear cell adenocarcinoma|endometrial clear cell adenocarcinomas|endometrial clear cell carcinoma|endometrial clear cell carcinomas
DOID:4588	secretory meningioma|secretory meningiomas
DOID:2999	cell granulosa tumor|cell granulosa tumors|cell granulosa tumour|cells granulosa tumor|cells granulosa tumors|cells granulosa tumour|granulosa cell neoplasm|granulosa cell neoplasms|granulosa cell tumor|granulosa cell tumor [disease/finding]|granulosa cell tumors|granulosa cell tumour|granulosa cell tumour [disease/finding]|granulosa cell tumours|malignant granulosa cell neoplasm|malignant granulosa cell neoplasms|malignant granulosa cell tumor|malignant granulosa cell tumors|malignant granulosa cell tumour|tumor cell granulosa|tumour cell granulosa
DOID:12239	anal margin squamous cell carcinoma|anal margin squamous cell carcinomas|perianal skin squamous cell carcinoma|perianal skin squamous cell carcinomas|squamous cell carcinoma of anal margin|squamous cell carcinoma of the anal margin
DOID:3594	chorioblastoma|chorioblastomas|choriocarcinoma|choriocarcinoma [disease/finding]|choriocarcinoma nos|choriocarcinomas|chorioepithelioma|chorioepithelioma nos|chorioepitheliomas|chorionepithelioma|chorionepitheliomas|chorionic carcinoma|chorionic carcinomas
DOID:7717	colloid carcinoma of the pancreas|mucinous noncystic carcinoma|mucinous noncystic carcinomas|pancreatic mucinous noncystic carcinoma|pancreatic mucinous noncystic carcinomas
DOID:294	gland lacrimal tumors|gland lacrimal tumours|lacrimal gland cancer|lacrimal gland cancers|lacrimal gland neoplasm|lacrimal gland neoplasms|lacrimal gland tumor|lacrimal gland tumors|lacrimal gland tumour|mal neo lacrimal gland|malignant lacrimal gland neoplasm|malignant lacrimal gland neoplasms|malignant lacrimal gland tumor|malignant lacrimal gland tumors|malignant lacrimal gland tumour|malignant neoplasm of lacrimal gland|malignant neoplasm of the lacrimal gland|malignant tumor of lacrimal gland|malignant tumor of the lacrimal gland|malignant tumour of lacrimal gland|malignant tumour of the lacrimal gland|neoplasm of lacrimal gland|neoplasm of the lacrimal gland|tumor of lacrimal gland|tumor of the lacrimal gland|tumour of lacrimal gland|tumour of the lacrimal gland
DOID:3279	medullary thymoma|medullary thymomas|spindle cell thymoma|spindle cell thymomas|thymoma type a|type a thymoma|type a thymomas
DOID:4230	cancer of smooth muscle|cancer of the smooth muscle|malignant neoplasm of smooth muscle|malignant neoplasm of the smooth muscle|malignant smooth muscle neoplasm|malignant smooth muscle neoplasms|malignant smooth muscle tumor|malignant smooth muscle tumors|malignant smooth muscle tumour|malignant tumor of smooth muscle|malignant tumor of the smooth muscle|malignant tumour of smooth muscle|malignant tumour of the smooth muscle|smooth muscle cancer|smooth muscle cancers
DOID:4513	angiosarcoma of gallbladder|angiosarcoma of the gallbladder|gallbladder angiosarcoma|gallbladder angiosarcomas|gallbladder hemangiosarcoma|gallbladder hemangiosarcomas|hemangiosarcoma of gallbladder|hemangiosarcoma of the gallbladder
DOID:4152	chondroid chordoma|chondroid chordomas
DOID:1910	vaginal endodermal sinus neoplasm|vaginal endodermal sinus neoplasms|vaginal endodermal sinus tumor|vaginal endodermal sinus tumors|vaginal endodermal sinus tumour|vaginal yolk sac neoplasm|vaginal yolk sac neoplasms|vaginal yolk sac tumor|vaginal yolk sac tumors|vaginal yolk sac tumour
DOID:2706	malignant neoplasm of synovium|malignant neoplasm of the synovium|malignant synovial neoplasm|malignant synovial neoplasms|malignant synovial tumor|malignant synovial tumors|malignant synovial tumour|malignant tumor of synovium|malignant tumor of the synovium|malignant tumour of synovium|malignant tumour of the synovium|synovium cancer|synovium cancers
DOID:6209	malignant hemangiopericytoma of mediastinum|malignant hemangiopericytoma of the mediastinum|malignant mediastinal hemangiopericytoma|malignant mediastinal hemangiopericytomas|malignant mediastinum hemangiopericytoma|malignant mediastinum hemangiopericytomas
DOID:4923	adenocarcinoma of the thymus|adenocarcinoma of thymus|thymic adenocarcinoma|thymic adenocarcinomas|thymus adenocarcinoma|thymus adenocarcinomas
DOID:3068	adult glioblastoma|adult glioblastoma multiforme|adult glioblastomas|gbm|gbm (glioblastoma)|glioblastoma|glioblastoma [disease/finding]|glioblastoma multiforme|glioblastoma multiforme adult|glioblastomas|grade iv adult astrocytic neoplasm|grade iv adult astrocytic neoplasms|grade iv adult astrocytic tumor|grade iv adult astrocytic tumors|grade iv adult astrocytic tumour|grade iv adult astrocytoma|grade iv adult astrocytomas|grade iv astrocytic neoplasm|grade iv astrocytic neoplasms|grade iv astrocytic tumor|grade iv astrocytic tumors|grade iv astrocytic tumour|grade iv astrocytoma|grade iv astrocytomas|primary glioblastoma|primary glioblastoma multiforme|primary glioblastomas
DOID:3744	cancer cell cervix squamous|cancer cells cervix squamous|carcinoma cell cervix squamous|cervical epidermoid carcinoma|cervical epidermoid carcinomas|cervical squamous cell carcinoma|cervical squamous cell carcinomas|cervix squamous cell carcinoma|cervix squamous cell carcinomas|cervix uteri squamous cell carcinoma|cervix uteri squamous cell carcinomas|epidermoid carcinoma of the cervix|squamous cell cancer of the cervix|squamous cell carcinoma cervical|squamous cell carcinoma cervix|squamous cell carcinoma of cervix|squamous cell carcinoma of cervix uteri|squamous cell carcinoma of the cervix|squamous cell carcinoma of the cervix uteri|squamous cell carcinoma of the uterine cervix|squamous cell carcinoma of uterine cervix|squamous cervical cancer|squamous cervical cancers|uterine cervix squamous cell carcinoma|uterine cervix squamous cell carcinomas
DOID:292	lacrimal system cancer|lacrimal system cancers|lacrimal system neoplasm|lacrimal system neoplasms|lacrimal system tumor|lacrimal system tumors|lacrimal system tumour|neoplasm of lacrimal system|neoplasm of the lacrimal system|tumor of lacrimal system|tumor of the lacrimal system|tumour of lacrimal system|tumour of the lacrimal system
DOID:712	refractory hematologic cancer|refractory hematologic cancers|refractory hematologic malignancy
DOID:8144	chronic lymphocytic leukemia/small lymphocytic lymphoma with unmutated immunoglobulin heavy chain variable-region gene|cll/sll with unmutated igvh|pregerminal center chronic lymphocytic leukemia/small lymphocytic lymphoma|pregerminal center chronic lymphocytic leukemia/small lymphocytic lymphomas
DOID:3445	cancer of scrotum|cancer of the scrotum|carcinoma of scrotum|carcinoma of the scrotum|scrotal cancer|scrotal cancers|scrotal carcinoma|scrotal carcinomas
DOID:6160	childhood choriocarcinoma of testis|childhood choriocarcinoma of the testis|childhood testicular choriocarcinoma|childhood testicular choriocarcinomas|pediatric choriocarcinoma of testis|pediatric choriocarcinoma of the testis|pediatric testicular choriocarcinoma|pediatric testicular choriocarcinomas
DOID:1798	cancer of the endocrine pancreas|carcinoma of the endocrine pancreas|endocrine pancreatic cancer|endocrine pancreatic cancers|high grade pancreatic neuroendocrine carcinoma|high grade pancreatic neuroendocrine carcinomas|high-grade pancreatic neuroendocrine carcinoma|high-grade pancreatic neuroendocrine carcinomas|islet cell cancer|islet cell cancers|islet cell carcinoma|islet cell carcinomas|mal neo islet langerhans|malignant islet cell tumor|malignant islet cell tumors|malignant islet cell tumour|malignant neoplasm of islets of langerhans|malignant pancreatic endocrine tumor|malignant pancreatic endocrine tumors|malignant pancreatic endocrine tumour|pancreatic endocrine cancer|pancreatic endocrine cancers|pancreatic endocrine carcinoma|pancreatic endocrine carcinomas|pancreatic nec|pancreatic nec g3|pancreatic neuroendocrine carcinoma|pancreatic neuroendocrine carcinomas|poorly differentiated pancreatic endocrine carcinoma|poorly differentiated pancreatic endocrine carcinomas
DOID:3258	embryonal rhabdomyosarcoma of orbit|embryonal rhabdomyosarcoma of the orbit|orbit embryonal rhabdomyosarcoma|orbit embryonal rhabdomyosarcomas
DOID:3813	central nervous system chondroma|central nervous system chondromas|central nervous system osteochondroma|central nervous system osteochondromas|chondroma of central nervous system|chondroma of cns|chondroma of the central nervous system|chondroma of the cns|cns chondroma|cns chondromas|cns osteochondroma|cns osteochondromas|osteochondroma of central nervous system|osteochondroma of cns|osteochondroma of the central nervous system|osteochondroma of the cns
DOID:7360	solid pattern testicular yolk sac tumor|solid pattern testicular yolk sac tumors|solid pattern testicular yolk sac tumour
DOID:6659	cervical large cell neuroendocrine carcinoma|cervical large cell neuroendocrine carcinomas
DOID:2133	central nervous system sarcoma|central nervous system sarcomas|cns sarcoma|cns sarcomas|sarcoma of central nervous system|sarcoma of cns|sarcoma of the central nervous system|sarcoma of the cns
DOID:4553	large cell neuroendocrine carcinoma of the thymus|large cell neuroendocrine carcinoma of thymus|thymic large cell neuroendocrine carcinoma|thymic large cell neuroendocrine carcinomas|thymus large cell carcinoma|thymus large cell carcinomas
DOID:5042	malignant granular cell myoblastoma|malignant granular cell myoblastomas|malignant granular cell neoplasm|malignant granular cell neoplasms|malignant granular cell tumor|malignant granular cell tumors|malignant granular cell tumour
DOID:4554	thymic carcinoma|thymic carcinoma (excluding well differentiated thymic carcinoma)|thymic carcinoma excluding well differentiated thymic carcinoma|thymic carcinoma excluding well differentiated thymic carcinomas|thymic carcinomas|thymoma type c|type c thymoma|type c thymomas
DOID:4739	testicular brenner tumor|testicular brenner tumors|testicular brenner tumour
DOID:9188	mal neo mouth vestibule|malignant neoplasm of vestibule of mouth|malignant tumor of vestibule of mouth|malignant tumour of vestibule of mouth|vestibule of mouth cancer|vestibule of mouth cancers
DOID:4905	cancer of pancreas|cancer of the pancreas|carcinoma of pancreas|carcinoma of the pancreas|carcinoma pancreas|carcinoma pancreatic|exocrine cancer|exocrine cancers|exocrine pancreas carcinoma|exocrine pancreas carcinomas|pancreas cancer|pancreas cancers|pancreas carcinoma|pancreas carcinomas|pancreatic acinar carcinoma|pancreatic acinar carcinomas|pancreatic cancer|pancreatic cancer (not islets)|pancreatic cancers|pancreatic carcinoma|pancreatic carcinomas
DOID:3459	breast cancer|breast cancers|breast carcinoma|breast carcinomas|cancer of breast|cancer of the breast|carcinoma breast|carcinoma of breast|carcinoma of the breast|mammary carcinoma|mammary carcinomas
DOID:1866	cell central giant granulomas|cent giant cell granulom|central giant cell (reparative) granuloma|central giant cell (reparative) granulomas|central giant cell granuloma|central giant cell granulomas|central giant cell reparative granuloma|central giant cell reparative granulomas|giant cell reparative granuloma|giant cell reparative granulomas
DOID:0070003	blastoma|blastomas
DOID:7541	breast carcinosarcoma|breast carcinosarcomas|mixed epithelial/mesenchymal metaplastic breast carcinoma|mixed epithelial/mesenchymal metaplastic breast carcinomas
DOID:6445	ovarian endometrioid adenocarcinofibroma|ovarian endometrioid adenocarcinofibromas|ovarian endometrioid malignant adenofibroma|ovarian endometrioid malignant adenofibromas
DOID:7079	adult cystic teratoma|adult cystic teratomas
DOID:11934	head and neck cancer|head and neck cancers|head and neck neoplasm|head and neck neoplasm (excluding central nervous system)|head and neck neoplasms|head and neck neoplasms [disease/finding]|head and neck tumor|head and neck tumors|head and neck tumour|head neck neopl|head neck neoplasms|head neck tumor|head neck tumors|head neck tumour|head neck tumours|head or neck neoplasm|head or neck neoplasms|head/neck neoplasm|head/neck neoplasms|neopl head neck|neoplasm of head and neck|neoplasm of the head and neck|tumor of head and neck|tumor of the head and neck|tumour of head and neck|tumour of the head and neck
DOID:0050918	vaginal carcinoma|vaginal carcinomas
DOID:10044	balloon cell malignant melanoma|balloon cell malignant melanoma of skin|balloon cell malignant melanoma of the skin|balloon cell malignant melanomas|balloon cell malignant skin melanoma|balloon cell malignant skin melanomas|balloon cell melanoma|balloon cell melanomas|balloon cell skin melanoma|balloon cell skin melanomas
DOID:4352	ciliary body cancer|ciliary body cancers|ciliary body neoplasm|ciliary body neoplasms|ciliary body tumor|ciliary body tumors|ciliary body tumour|malignant ciliary body neoplasm|malignant ciliary body neoplasms|malignant ciliary body tumor|malignant ciliary body tumors|malignant ciliary body tumour|malignant neoplasm of ciliary body|malignant neoplasm of the ciliary body|malignant tumor of ciliary body|malignant tumor of the ciliary body|malignant tumour of ciliary body|malignant tumour of the ciliary body|neoplasm of ciliary body|neoplasm of the ciliary body|tumor of ciliary body|tumor of the ciliary body|tumour of ciliary body|tumour of the ciliary body
DOID:264	haemangiopericytoma|haemangiopericytomas|hemangiopericytoma|hemangiopericytoma [disease/finding]|hemangiopericytomas|perithelioma|peritheliomas
DOID:2814	cancer of the vestibulocochlear nerve|cancer of vestibulocochlear nerve|malignant acoustic nerve neoplasm|malignant acoustic nerve neoplasms|malignant acoustic nerve tumor|malignant acoustic nerve tumors|malignant acoustic nerve tumour|malignant eighth cranial nerve neoplasm|malignant eighth cranial nerve neoplasms|malignant eighth cranial nerve tumor|malignant eighth cranial nerve tumors|malignant eighth cranial nerve tumour|malignant neoplasm of acoustic nerve|malignant neoplasm of eighth cranial nerve|malignant neoplasm of the acoustic nerve|malignant neoplasm of the eighth cranial nerve|malignant neoplasm of the vestibulocochlear nerve|malignant neoplasm of vestibulocochlear nerve|malignant tumor of acoustic nerve|malignant tumor of eighth cranial nerve|malignant tumor of the acoustic nerve|malignant tumor of the eighth cranial nerve|malignant tumor of the vestibulocochlear nerve|malignant tumor of vestibulocochlear nerve|malignant tumour of acoustic nerve|malignant tumour of eighth cranial nerve|malignant tumour of the acoustic nerve|malignant tumour of the eighth cranial nerve|malignant tumour of the vestibulocochlear nerve|malignant tumour of vestibulocochlear nerve|malignant vestibulocochlear nerve neoplasm|malignant vestibulocochlear nerve neoplasms|malignant vestibulocochlear nerve tumor|malignant vestibulocochlear nerve tumors|malignant vestibulocochlear nerve tumour
DOID:6482	acinar adenocarcinoma of lung|acinar adenocarcinoma of the lung|acinar lung adenocarcinoma|acinar lung adenocarcinomas|lung acinar adenocarcinoma|lung acinar adenocarcinomas
DOID:175	blood vessel tumors|blood vessel tumours|cancerous tumor of blood vessel|cancerous tumour of blood vessel|great vessel neoplasm|great vessel neoplasms|great vessel tumor|great vessel tumors|great vessel tumour|leiomyosarcoma of renal vein|leiomyosarcoma of the renal vein|malignant neoplasm of pulmonary artery|malignant neoplasm of pulmonary vein|malignant neoplasm of the pulmonary artery|malignant neoplasm of the pulmonary vein|malignant pulmonary artery neoplasm|malignant pulmonary artery neoplasms|malignant pulmonary vein neoplasm|malignant pulmonary vein neoplasms|malignant tumor of blood vessel|malignant tumor of pulmonary artery|malignant tumor of pulmonary vein|malignant tumor of the pulmonary artery|malignant tumor of the pulmonary vein|malignant tumour of blood vessel|malignant tumour of pulmonary artery|malignant tumour of pulmonary vein|malignant tumour of the pulmonary artery|malignant tumour of the pulmonary vein|malignant vascular neoplasm|malignant vascular neoplasms|malignant vascular tissue neoplasm|malignant vascular tissue neoplasms|malignant vascular tissue tumor|malignant vascular tissue tumors|malignant vascular tissue tumour|malignant vascular tumor|malignant vascular tumors|malignant vascular tumour|neopl vascular|neoplasm of great vessel|neoplasm of vascular tissue|neoplasms vascular|primary malignant neoplasm of great vessels (disorder)|renal vein leiomyosarcoma|renal vein leiomyosarcomas|tumor of great vessel|tumor of vascular tissue|tumour of great vessel|tumour of vascular tissue|vascular cancer|vascular cancers|vascular neopl|vascular neoplasm|vascular neoplasms|vascular neoplasms [disease/finding]|vascular tissue neoplasm|vascular tissue neoplasms|vascular tissue tumor|vascular tissue tumors|vascular tissue tumour
